x-axis,1,2,3,4
+5.385000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.390000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+5.395000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.400000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.824120551348E+00
+5.405000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+5.410000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.415000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+5.420000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.425000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.430000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.864321555953E+00,+4.904522560537E+00
+5.435000E-06,+3.497487399738E+00,+4.904522560537E+00,+4.864321555953E+00,+4.904522560537E+00
+5.440000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.445000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+5.450000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+5.455000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.460000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.465000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.470000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.864321555953E+00,+4.904522560537E+00
+5.475000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.480000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.485000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.490000E-06,+3.497487399716E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.495000E-06,+3.457286395133E+00,+4.944723565120E+00,+4.904522560537E+00,+4.904522560537E+00
+5.500000E-06,+3.497487399716E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.505000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.510000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.515000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+5.520000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.525000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+5.530000E-06,+3.497487399716E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.535000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.540000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.545000E-06,+3.457286395133E+00,+4.944723565120E+00,+4.904522560537E+00,+4.904522560537E+00
+5.550000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.555000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.560000E-06,+3.457286395133E+00,+4.944723565143E+00,+4.904522560537E+00,+4.904522560537E+00
+5.565000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.570000E-06,+3.497487399738E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.575000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.580000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.585000E-06,+3.457286395133E+00,+4.944723565143E+00,+4.904522560537E+00,+4.904522560537E+00
+5.590000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.595000E-06,+3.497487399738E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.600000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.605000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+5.610000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+5.615000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.864321555931E+00
+5.620000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.625000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.630000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.635000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.640000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.645000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.864321555954E+00,+4.904522560537E+00
+5.650000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.655000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.864321555954E+00,+4.904522560537E+00
+5.660000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.665000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+5.670000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.675000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.680000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.685000E-06,+3.497487399716E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.690000E-06,+3.457286395133E+00,+4.944723565120E+00,+4.904522560537E+00,+4.904522560537E+00
+5.695000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.700000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.705000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.824120551348E+00,+4.904522560537E+00
+5.710000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.715000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.720000E-06,+3.497487399716E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.725000E-06,+3.537688404322E+00,+4.944723565143E+00,+4.904522560537E+00,+4.904522560537E+00
+5.730000E-06,+3.457286395133E+00,+4.944723565120E+00,+4.904522560537E+00,+4.904522560537E+00
+5.735000E-06,+3.457286395133E+00,+4.944723565120E+00,+4.864321555954E+00,+4.904522560537E+00
+5.740000E-06,+3.497487399716E+00,+4.904522560537E+00,+4.864321555954E+00,+4.904522560537E+00
+5.745000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.750000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.755000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.760000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.765000E-06,+3.457286395133E+00,+4.944723565143E+00,+4.904522560537E+00,+4.904522560537E+00
+5.770000E-06,+3.457286395133E+00,+4.944723565120E+00,+4.904522560537E+00,+4.904522560537E+00
+5.775000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.780000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.785000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+5.790000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+5.795000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.800000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.805000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.810000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.864321555931E+00
+5.815000E-06,+3.457286395133E+00,+4.944723565120E+00,+4.904522560537E+00,+4.904522560537E+00
+5.820000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.825000E-06,+3.497487399739E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.830000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+5.835000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.840000E-06,+3.457286395133E+00,+4.944723565143E+00,+4.904522560537E+00,+4.904522560537E+00
+5.845000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.850000E-06,+3.457286395133E+00,+4.944723565120E+00,+4.904522560537E+00,+4.904522560537E+00
+5.855000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.864321555954E+00,+4.904522560537E+00
+5.860000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+5.865000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.870000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.875000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.880000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.885000E-06,+3.457286395133E+00,+4.944723565143E+00,+4.904522560537E+00,+4.904522560537E+00
+5.890000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.895000E-06,+3.497487399739E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.900000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.905000E-06,+3.457286395133E+00,+4.944723565143E+00,+4.904522560537E+00,+4.904522560537E+00
+5.910000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.824120551348E+00
+5.915000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.920000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.925000E-06,+3.457286395133E+00,+4.944723565143E+00,+4.904522560537E+00,+4.904522560537E+00
+5.930000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+5.935000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+5.940000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.945000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.950000E-06,+3.457286395133E+00,+4.944723565143E+00,+4.904522560537E+00,+4.904522560537E+00
+5.955000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+5.960000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.965000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.970000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.975000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.824120551348E+00,+4.904522560537E+00
+5.980000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.985000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+5.990000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+5.995000E-06,+3.497487399739E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+6.000000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.005000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.010000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.015000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.020000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.025000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.864321555954E+00,+4.904522560537E+00
+6.030000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.035000E-06,+3.497487399739E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+6.040000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.045000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.050000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.055000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.060000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.065000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.070000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.864321555954E+00,+4.904522560537E+00
+6.075000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.080000E-06,+3.457286395133E+00,+4.944723565143E+00,+4.904522560537E+00,+4.904522560537E+00
+6.085000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.090000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.095000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.100000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.105000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.110000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.115000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.120000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.125000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.130000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.135000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+6.140000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.145000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.984924569726E+00
+6.150000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.155000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.160000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.165000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.170000E-06,+3.537688404322E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+6.175000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.180000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.185000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.190000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.195000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+6.200000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.205000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.210000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.215000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+6.220000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+6.225000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+6.230000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.235000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.240000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.245000E-06,+3.497487399739E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.250000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.255000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+6.260000E-06,+3.457286395133E+00,+4.944723565144E+00,+4.904522560537E+00,+4.904522560537E+00
+6.265000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.270000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.864321555955E+00,+4.864321555955E+00
+6.275000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.984924569726E+00
+6.280000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.285000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.290000E-06,+3.537688404322E+00,+4.944723565119E+00,+4.904522560537E+00,+4.904522560537E+00
+6.295000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.300000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.305000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.310000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.315000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.320000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.325000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.330000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.335000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+6.340000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.864321555955E+00,+4.904522560537E+00
+6.345000E-06,+3.497487399739E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.350000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.355000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.360000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.365000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.370000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.375000E-06,+3.457286395133E+00,+4.944723565119E+00,+4.904522560537E+00,+4.904522560537E+00
+6.380000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.984924569726E+00
+6.385000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.390000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.824120551348E+00,+4.904522560537E+00
+6.395000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+6.400000E-06,+3.497487399715E+00,+4.944723565144E+00,+4.904522560537E+00,+4.904522560537E+00
+6.405000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.410000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.415000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.420000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.864321555955E+00,+4.904522560537E+00
+6.425000E-06,+3.497487399740E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.430000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.435000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.440000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.445000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.450000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.984924569726E+00
+6.455000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.460000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.465000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.470000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.864321555955E+00,+4.904522560537E+00
+6.475000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.480000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.485000E-06,+3.497487399715E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.490000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+6.495000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.500000E-06,+3.537688404322E+00,+4.944723565144E+00,+4.904522560537E+00,+4.904522560537E+00
+6.505000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.510000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+6.515000E-06,+3.497487399740E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.520000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.525000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.530000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.535000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.540000E-06,+3.497487399714E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.545000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.550000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.555000E-06,+3.497487399740E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.560000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.565000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.570000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.575000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.580000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.585000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.590000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.824120551348E+00,+4.904522560537E+00
+6.595000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.600000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.605000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.610000E-06,+3.457286395133E+00,+4.984924569726E+00,+4.904522560537E+00,+4.904522560537E+00
+6.615000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.620000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.625000E-06,+3.497487399714E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.630000E-06,+3.497487399740E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.635000E-06,+3.497487399740E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.640000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.645000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.650000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.655000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.660000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.665000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.944723565119E+00,+4.904522560537E+00
+6.670000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.675000E-06,+3.497487399740E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.680000E-06,+3.537688404322E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.685000E-06,+3.497487399714E+00,+4.904522560537E+00,+4.904522560537E+00,+4.944723565144E+00
+6.690000E-06,+3.457286395133E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
+6.695000E-06,+3.497487399740E+00,+4.904522560537E+00,+4.904522560537E+00,+4.904522560537E+00
